Status,Date,Description,Debit,Credit
Cleared,02-12-2026,"JULIO ORTEGA : Zelle Credit PAY ID:JPM99c5evghq ORG ID:JPM ",,250.00,
Cleared,02-12-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 02/10 12:10p #6081 ",10.29,,
Cleared,02-12-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/09 05:00p #6081 ",3.00,,
Cleared,02-12-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/10 08:45a #6081 ",3.00,,
Cleared,02-12-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/10 04:57p #6081 ",3.00,,
Cleared,02-11-2026,"SCHWAB BROKERAGE MONEYLINK 558622490024342 : ACH Electronic Debit ",1005.00,,
Cleared,02-11-2026,"NATIONAL INCOME NIL INS : ACH Electronic Debit ",55.55,,
Cleared,02-11-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 02/09 12:07p #6081 ",10.29,,
Cleared,02-11-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/09 08:42a #6081 ",3.00,,
Cleared,02-10-2026,"KEIBER MEJIA : Zelle Debit PAY ID:CTIwgBkZcdzm ORG ID:2HY ",2500.00,,
Cleared,02-10-2026,"Hope Canaan 118 WEB PMTS VZPXV1 : ACH Electronic Debit ",641.00,,
Cleared,02-10-2026,"D3198 EBISU AD EAST RUTHERFO NJ 26 : Mobile Purchase Sign Based 02/07 05:42p #6081 ",120.81,,
Cleared,02-10-2026,"D3198 LS AV AD 2 LLC EAST RUTHERFO NJ 26 : Mobile Purchase Sign Based 02/07 06:31p #6081 ",38.39,,
Cleared,02-10-2026,"D3198 DD *DOORDASH KYURAMENC 8559731040 CA 26 : Mobile Purchase Sign Based 02/06 09:33p #6081 ",36.22,,
Cleared,02-10-2026,"D3198 ZARA USA 6476 EAST RUTHERFO NJ 26 : Mobile Purchase Sign Based 02/07 03:31p #6081 ",35.94,,
Cleared,02-10-2026,"D3198 TACO BELL #036268 EAST RUTHERFO NJ 26 : Mobile Purchase Sign Based 02/07 05:06p #6081 ",27.25,,
Cleared,02-10-2026,"SoundCloud Monthly Go San Francisco CA 26040 : Mobile Purchase Sign Based 02/08 01:46p #6081 ",10.99,,
Cleared,02-10-2026,"PAYPAL INST XFER PATREON MEMBER : ACH Electronic Debit ",10.00,,
Cleared,02-10-2026,"D3198 LOVISA AMERICAN DREAM East Rutherfo NJ 26 : Mobile Purchase Sign Based 02/07 07:45p #6081 ",9.59,,
Cleared,02-10-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/06 02:59p #6081 ",3.00,,
Cleared,02-10-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/06 07:44a #6081 ",3.00,,
Cleared,02-10-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/05 05:16p #6081 ",3.00,,
Cleared,02-09-2026,"CRB UPSTART LOAN : ACH Electronic Credit ",,6090.00,
Cleared,02-09-2026,"UPSTART NETWORK UPST LOANS 26232425 : ACH Electronic Debit ",602.45,,
Cleared,02-09-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 02/05 12:08p #6081 ",11.43,,
Cleared,02-09-2026,"CASH APP*MR 1185 Oakland CA 26037 : Mobile Purchase Sign Based 02/05 11:15a #6081 ",10.00,,
Cleared,02-09-2026,"D3198 BP#8512709EAST NEW YORK NYUS07 : Mobile Purchase PIN Based ",8.00,,
Cleared,02-09-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/04 05:00p #6081 ",3.00,,
Cleared,02-09-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/05 08:50a #6081 ",3.00,,
Cleared,02-06-2026,"DISCOVER PAYMENTS 8247 : ACH Electronic Debit ",183.00,,
Cleared,02-06-2026,"Incoming Wire Transfer Fee - INCOMING WIREFEE ",15.00,,
Cleared,02-06-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 02/04 12:19p #6081 ",11.43,,
Cleared,02-06-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/03 05:03p #6081 ",3.00,,
Cleared,02-06-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/04 08:47a #6081 ",3.00,,
Cleared,02-05-2026,"3872AE UNITED ST DIRDEP : ACH Electronic Credit ",,581.78,
Cleared,02-05-2026,"Incoming Wire Transfer WIRE FROM NINJATRADER CLEARING LLC DBA",,497.50,
Cleared,02-05-2026,"D3198 APPLE.COM/BILL CUPERTINO CA 26 : Mobile Purchase Sign Based 02/03 01:21p #6081 ",21.76,,
Cleared,02-05-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 02/03 11:46a #6081 ",11.43,,
Cleared,02-05-2026,"TradingViewM*Product Westerville OH 26035 : Mobile Purchase Sign Based 02/03 09:38a #6081 ",7.62,,
Cleared,02-05-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/03 08:48a #6081 ",3.00,,
Cleared,02-05-2026,"D3198 NBCU CAFE QPS NEW YORK NY 26 : Mobile Purchase Sign Based 02/03 11:55a #6081 ",2.23,,
Cleared,02-04-2026,"D3198 KINOKUNIYA USA NEW YOR NEW YORK NY 26 : Mobile Purchase Sign Based 02/02 05:19p #6081 ",49.02,,
Cleared,02-04-2026,"D3198 CHIPOTLE 0769 NEW YORK NY 26 : Mobile Purchase Sign Based 02/02 12:12p #6081 ",16.39,,
Cleared,02-04-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/02 05:25p #6081 ",3.00,,
Cleared,02-04-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/02 08:44a #6081 ",3.00,,
Cleared,02-03-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 01/30 12:19p #6081 ",10.29,,
Cleared,02-03-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/30 05:08p #6081 ",3.00,,
Cleared,02-03-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/30 08:47a #6081 ",3.00,,
Cleared,02-03-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/29 05:12p #6081 ",3.00,,
Cleared,02-03-2026,"PureGym US Springfield VA 26033 : Mobile Purchase Sign Based 02/01 08:02a #6081 ",2.91,,
Cleared,02-02-2026,"SPECTRUM SPECTRUM 829583 : ACH Electronic Debit ",113.89,,
Cleared,02-02-2026,"D3198 THE UPS STORE 4163 NEW YORK NY 26 : Mobile Purchase Sign Based 01/29 06:14p #6081 ",30.93,,
Cleared,02-02-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 01/29 12:22p #6081 ",11.43,,
Cleared,02-02-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/28 04:59p #6081 ",3.00,,
Cleared,02-02-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/29 08:51a #6081 ",3.00,,
Cleared,01-30-2026,"CASH APP*MR 1185 Oakland CA 26029 : DEBIT CARD TRANSFER DEBIT 01/28 06:19p #6081 ",25.00,,
Cleared,01-30-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 01/28 12:10p #6081 ",11.43,,
Cleared,01-30-2026,"PAYPAL INST XFER TWITCHINTER : ACH Electronic Debit ",5.99,,
Cleared,01-30-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/28 08:49a #6081 ",3.00,,
Cleared,01-29-2026,"3872AE UNITED ST DIRDEP : ACH Electronic Credit ",,581.77,
Cleared,01-29-2026,"Deposit 05:03p #6081 Citibank ATM 12 W 48TH STREET, NY, NY",,200.00,
Cleared,01-29-2026,"LUCID TRADING BASKING RIDGE NJ 26028 : Debit Card Purchase 01/27 05:50p #6081 ",65.00,,
Cleared,01-29-2026,"Olivia Wong : Zelle Credit PAY ID:COF54CMMBJWX ORG ID:COF ",,30.93,
Cleared,01-29-2026,"D3198 DD *DOORDASH PAPAJOHNS 8559731040 CA 26 : Mobile Purchase Sign Based 01/27 12:24a #6081 ",22.25,,
Cleared,01-29-2026,"TRADEZELLA MIAMI FL 26028 : Mobile Purchase Sign Based 01/27 07:04p #6081 ",16.74,,
Cleared,01-29-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 01/27 12:12p #6081 ",11.43,,
Cleared,01-29-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/27 05:04p #6081 ",3.00,,
Cleared,01-29-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/27 08:42a #6081 ",3.00,,
Cleared,01-27-2026,"D3198 NINJATRADER CLEARING CHICAGO IL 26 : Mobile Purchase Sign Based 01/25 08:36a #6081 ",500.00,,
Cleared,01-27-2026,"D3198 APPLE CASH SENT MONEY CUPERTINO CA 26 : Mobile Purchase Sign Based 01/24 01:15p #6081 ",25.00,,
Cleared,01-27-2026,"D3198 TST* DOS TOROS - PENN NEW YORK NY 26 : Mobile Purchase Sign Based 01/23 05:38p #6081 ",15.00,,
Cleared,01-27-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 01/23 12:06p #6081 ",11.43,,
Cleared,01-27-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/23 10:14a #6081 ",3.00,,
Cleared,01-27-2026,"D3198 NBCU CAFE QPS NEW YORK NY 26 : Mobile Purchase Sign Based 01/23 05:17p #6081 ",2.23,,
Cleared,01-27-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/23 05:24p #6081 ",2.00,,
Cleared,01-26-2026,"AFFIRM * PAY IIWMWGJ5 SAN FRANCISCO CA 26023 : Debit Card Purchase 01/22 08:59a #6081 ",125.71,,
Cleared,01-26-2026,"TRADEZELLA MIAMI FL 26023 : Mobile Purchase Sign Based 01/22 06:08p #6081 ",29.00,,
Cleared,01-26-2026,"EMPIRE CORNER II NEW YORK NY 26023 : Debit Card Purchase 01/22 08:25p #6081 ",17.62,,
Cleared,01-26-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 01/22 12:08p #6081 ",10.29,,
Cleared,01-26-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/22 08:44a #6081 ",3.00,,
Cleared,01-26-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/22 05:03p #6081 ",3.00,,
Cleared,01-26-2026,"D3198 APPLE.COM/BILL CUPERTINO CA 26 : Mobile Purchase Sign Based 01/22 10:36a #6081 ",0.99,,
Cleared,01-23-2026,"D3198 CHIPOTLE 0769 NEW YORK NY 26 : Mobile Purchase Sign Based 01/21 12:26p #6081 ",12.85,,
Cleared,01-23-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/21 08:45a #6081 ",3.00,,
Cleared,01-23-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/21 04:59p #6081 ",3.00,,
Cleared,01-22-2026,"3872AE UNITED ST DIRDEP : ACH Electronic Credit ",,659.89,
Cleared,01-22-2026,"D3198 FAO_Schwarz New York NY 26 : Mobile Purchase Sign Based 01/20 05:07p #6081 ",95.86,,
Cleared,01-22-2026,"WL *STEAM PURCHASE SEATTLE WA 26021 : Debit Card Purchase 01/19 02:00p #6081 ",32.65,,
Cleared,01-22-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 01/20 10:26a #6081 ",11.43,,
Cleared,01-22-2026,"CASH APP*MR 1185 Oakland CA 26021 : DEBIT CARD TRANSFER DEBIT 01/20 04:54p #6081 ",10.00,,
Cleared,01-22-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/20 08:44a #6081 ",3.00,,
Cleared,01-22-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/20 05:14p #6081 ",3.00,,
Cleared,01-21-2026,"D3198 SQ *KPOP NARA NYC New York NY 26 : Mobile Purchase Sign Based 01/19 12:52p #6081 ",88.46,,
Cleared,01-21-2026,"CASH APP*MR 1185 Oakland CA 26017 : DEBIT CARD TRANSFER DEBIT 01/16 02:59p #6081 ",60.00,,
Cleared,01-21-2026,"EMPIRE CORNER II NEW YORK NY 26020 : Debit Card Purchase 01/19 03:56p #6081 ",30.24,,
Cleared,01-21-2026,"MCDONALD'S M5467 OF BRYANS ROAD MD 26018 : Debit Card Purchase 01/17 12:55a #6081 ",16.63,,
Cleared,01-21-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 01/19 09:21a #6081 ",11.43,,
Cleared,01-21-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 01/16 12:29p #6081 ",11.43,,
Cleared,01-21-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/16 08:54a #6081 ",3.00,,
Cleared,01-21-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/16 05:30p #6081 ",3.00,,
Cleared,01-21-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/19 12:30p #6081 ",3.00,,
Cleared,01-21-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/19 08:45a #6081 ",3.00,,
Cleared,01-21-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/19 12:51a #6081 ",3.00,,
Cleared,01-21-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/19 01:01p #6081 ",3.00,,
Cleared,01-20-2026,"Olivia Wong : Zelle Credit PAY ID:COF66VZ2IAQR ORG ID:COF ",,88.46,
Cleared,01-20-2026,"Olivia Wong : Zelle Credit PAY ID:COFGXW5MO4XD ORG ID:COF ",,58.00,
Cleared,01-20-2026,"COLUMBIA FACULTY PRACT NEW YORK NY 26016 : Debit Card Purchase 01/15 09:56p #6081 ",25.00,,
Cleared,01-20-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 01/15 12:21p #6081 ",11.83,,
Cleared,01-20-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/15 08:48a #6081 ",3.00,,
Cleared,01-20-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/15 04:47p #6081 ",3.00,,
Cleared,01-20-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/14 08:05p #6081 ",3.00,,
Cleared,01-16-2026,"PAYPAL INST XFER ITCH IO : ACH Electronic Debit ",26.99,,
Cleared,01-16-2026,"D3198 CHIPOTLE 0769 NEW YORK NY 26 : Mobile Purchase Sign Based 01/14 12:55p #6081 ",12.85,,
Cleared,01-16-2026,"PAYPAL INST XFER ITCH IO : ACH Electronic Debit ",4.49,,
Cleared,01-16-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/14 10:06a #6081 ",3.00,,
Cleared,01-15-2026,"3872AE UNITED ST DIRDEP : ACH Electronic Credit ",,581.78,
Cleared,01-15-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 01/13 02:30p #6081 ",11.83,,
Cleared,01-15-2026,"D3198 APPLE CASH SENT MONEY CUPERTINO CA 26 : Mobile Purchase Sign Based 01/13 04:45p #6081 ",10.00,,
Cleared,01-15-2026,"CASH APP*MR 1185 Oakland CA 26014 : Mobile Purchase Sign Based 01/13 08:43p #6081 ",3.00,,
Cleared,01-15-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 01/13 04:53p #6081 ",3.00,,
